1 U0278827
1 U0269215
1 U0016484
1 U0284764
1 U0211358
1 U0133996
1 U9804932
1 U0203719
1 U0273658
1 U0284668
1 U0253417
1 U0136975
1 U0252011
1 U0079114
1 U0263934
1 U0261134
1 U0203615
1 U5453533
1 U0263068
1 U0187732
1 U0268991
1 U0224813
1 U0203345
1 U0267422
1 U4342342
2 0
2 2 "British Indian Ocean Territory (Chagos Archipelago)"
2 10 "Mozambique"
2 10 "United States of America"
2 1 "Zambia"
2 3 "Nigeria"
2 2 "Malta"
2 5 "Norfolk Island"
2 4 "Saint Kitts and Nevis"
2 50
2 2 "Saint Vincent and the Grenadines"
2 4 "Seychelles"
2 2 "Tunisia"
2 10
2 8 "Senegal"
2 6 "Maldives"
2 1000 "Ghana"
2 0 "Taiwan"
2 1 "Lebanon"
2 100 "United States of America"
2 3 "Cuba"
2 5 "Venezuela"
2 7 "France"
2 10 "Vanuatu"
2 1 "Solomon Islands"
3 0 0
3 1 7
3 10 15
3 40 50
3 35 45
3 50 120
3 100 100
3 10 20
3 0 18
3 18 60
3 7 13
3 30 40
3 18 99
3 20 30
3 25 50
3 70 80
3 0 5
3 25 64
3 24 42
3 0 100
3 45 50
3 18 30
3 15 25
3 65 80
3 25 25
